project_name,location_identifier,indigo_name,original_language_name,english_translated_name,alternative_name,countries_iso,project_url,is_sib,is_dib,variant_name,naming_error_assumed,is_historic,is_active,is_proof_of_concept,stage_of_development,contract_signature_date,expected_completion_date,completion_date_actual,service_provision_started,service_provision_end_expected,service_provision_end_actual,notes_about_dates,project_finance_currency_iso,staticfx_210525,fx_pair,total_investment_committed_exact_usd,total_investment_committed_exact,total_investment_committed_usd,investment_commitment_max_value,investment_commitment_min_value,project_finance_notes,social_challenge_category,intervention_description,intervention_policy_sector,target_population_description,target_pop_unique_value,target_pop_type,beneficiaries_actual_value,beneficiaries_actual_type,beneficiaries_notes,value_notes
Treatment of Families Affected by Violence ,Denmark,Treatment of Families Affected by Violence - Denmark,,,,DK,,False,False,,False,False,False,False,Implementation,2021-04,,,2021-09,2025-09,,,DKK,0.15,DKKUSD,705000,4700000,705000,,,,"Violence in close relationships leaves scars for life - both for the partner exposed to violence and for the children who grow up in a home with violence. With derived social, health and employment-oriented effects, violence also has large socio-economic costs. ","Specialized therapy to families in domestic violence, including therapy to the violent partner, their partner and children. A goal of the intervention is also to create more knowledge about the consequences and derived costs associated with violence in families, and how social interventions that work can create savings across municipalities, regions and the state. The investment case therefore affects municipal, state and regional budgets, as violence is costly for both the social, health and judicial systems.",Child and family welfare,,,Individual,,,,
Specialized help for children and young people from families with drug or alcohol abuse, Denmark,Specialized help for children and young people from families with drug or alcohol abuse - Denmark,,,,DK,,False,False,,False,False,False,False,Implementation,2021-03,,,2021-08,2024-08,,,DKK,0.15,DKKUSD,480000,3200000,480000,,,,"Many children and young people from families with drug or alcohol abuse experience difficulties in relation to their daily well-being and development as a result of their upbringing. However, young people quickly go under the radar, even though we know that children and young people who grow up in families with drug abuse do worse than their peers, just as growing up can have an impact on their education, work and family life later on.","The intervention consists of individual therapy and group courses, which are provided by the non-profit organization TUBA. TUBA specializes in helping children and young people from families with drug or alcohol abuse. The intervention has been tested in a large number of municipalities with positive effects on children and young people's well-being and coping skills and with a reduction in the young people's symptoms of anxiety, PTSD and depression.",Child and family welfare,Young people aged 14-35 living in Brøndby Municipality,,Individual,,,,
A Better Education for Vulnerable Children and Children Placed in Care,Denmark,A Better Education for Vulnerable Children and Children Placed in Care - Denmark,,,,DK,,False,False,,False,False,False,False,Implementation,2022-01,,,2022-05,2030-05,,,DKK,0.15,DKKUSD,2760000,18400000,2760000,,,,"To support the learning of the most vulnerable and placed children through a long-term and holistic effort, so that they can to a greater extent be retained in and complete primary school and youth education.","The intervention is a comprehensive and long-term teaching and mentoring program intended to support vulnerable children and children in care to graduate from primary and secondary school, thus building a stronger foundation for a better life. The program lasts six years, and follows the participants at least until they finish primary school. The program consists of learning camps, a mentoring scheme based on the help of volunteers as well as building bridges from the program to the children's everyday life.",Education,Placed and vulnerable children in Aarhus Municipality,,Individual,,,,
Plymouth Refugee Opportunities,,Plymouth Refugee Opportunities,,,Refugee Better Outcomes Partnership - Plymouth,GB,,False,False,,False,False,False,False,Implementation,2022-01,,,2021-11,2024-03,,,GBP,1.34,GBPUSD,,,,,,,Refugee Integration in the UK,"This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees. 
",Employment and training,The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).,,Individual,,,,
COMPASS Social Impact Bond,,COMPASS Social Impact Bond,,,,AU,,True,False,,False,False,False,False,Implementation,2018-02,2025-09,,2018-10,2023-09,,,AUD,0.64,AUDUSD,,,,14200000,,,"Young people leaving care are more likely to be homeless, unemployed, suffer mental health concerns or be involved in the criminal justice system, compared to other young people",COMPASS helps young people successfully transition from Out of Home Care (OOHC) and set them on a positive path to independence.,Child and family welfare,Young people between the ages of 16.5-18.5 who are in: 1. Out of Home Care; 2. Foster care; 3. Kinship care; 4. Residential care; 5. Lead tenant; and 6. Youth Justice Facility whose statutory order expires within six months,,Individual,,,,
The Deshkan Ziibi Conservation Impact Bond,,The Deshkan Ziibi Conservation Impact Bond,,,Canada Conservation Impact Bond,CA,,False,False,,False,False,False,False,Implementation,2019-01,,2023,2020-03,,,,CAD,0.72,CADUSD,93600,130000,93600,,,,"The world is facing dual biodiversity and climate crises, with ecosystems under threat in Canada and around the globe. In addition to being Canada's  most densely populated region , the Carolinian Zone is the most biodiverse ecoregion in the country. The Carolinian Zone is home to  more than 50% of the federally listed Species at Risk  in Canada and has been identified as the most imperiled region in Ontario.",The DZCIB is an outcomes-based financial instrument focused on reconciling peoples and ecosystems by building capacity for growing healthy landscapes with Indigenous leadership and nature-smart solutions.,Agriculture and environment,"The DZCIB is a five-year pilot project that seeks to accelerate healthy landscapes, nature-based solutions, advance Indigenous reconciliation, and empower human-nature relationships in southern Ontario. Included in the DZCIB pilot are 69 hectares (170 acres) of land in the Carolinian Zone.",,,,,,
EducAid - Sierra Leone Education Innovation Fund,,EducAid - Sierra Leone Education Innovation Fund,,,EducAid  ,SL,,False,False,,False,False,False,False,Implementation,2022-09,,,2022-09,2025-08,,,USD,1,USDUSD,,,,1320000,,,Lack of student learning in school is a key factor contributing to student dropout in schools. Sierra Leone has one of the highest out-of-school children in primary numbers when compared to similar countries in region. There is a need for improving the educational outcomes for some of the most disadvantaged children in Sierra Leone.,The Sierra Leone Education Innovation Challenge (SLEIC) is an outcomes-based fund through which 5 Grantees (providers and/or social investors) will implement 5 unique education interventions across five distinct geographical lots that cover all the districts in the country. This is one of the 5 interventions.,Education,Grade 1-6 primary school students in public schools in Sierra Leone,,Individual,12382,Individual,,
Street Child - Sierra Leone Education Innovation Fund,,Street Child - Sierra Leone Education Innovation Fund,,,Street Child,SL,,False,False,,False,False,False,False,Implementation,2022-09,,,2022-09,2025-08,,,USD,1,USDUSD,,,,1320000,,,Lack of student learning in school is a key factor contributing to student dropout in schools. Sierra Leone has one of the highest out-of-school children in primary numbers when compared to similar countries in region.,The Sierra Leone Education Innovation Challenge (SLEIC) is an outcomes-based fund through which 5 Grantees (providers and/or social investors) will implement 5 unique education interventions across five distinct geographical lots that cover all the districts in the country. This is one of the 5 interventions.,Education,Grade 1-6 primary school students in public schools in Sierra Leone,,Individual,,,,
Rising Academy Network - Sierra Leone Education Innovation Fund,,Rising Academy Network - Sierra Leone Education Innovation Fund,,,Rising Academy Network,SL,,False,False,,False,False,False,False,Implementation,2022-09,,,2022-09,2025-08,,,USD,1,USDUSD,,,,1320000,,,Lack of student learning in school is a key factor contributing to student dropout in schools. Sierra Leone has one of the highest out-of-school children in primary numbers when compared to similar countries in region.,The Sierra Leone Education Innovation Challenge (SLEIC) is an outcomes-based fund through which 5 Grantees (providers and/or social investors) will implement 5 unique education interventions across five distinct geographical lots that cover all the districts in the country. This is one of the 5 interventions.,Education,Grade 1-6 primary school students in public schools in Sierra Leone,,Individual,,,,
Her Heart Her Way,,Her Heart Her Way,,,,CA,,False,False,,False,False,False,False,Implementation,,,,2022-10,,,,CAD,0.72,CADUSD,432000,600000,432000,,,,"Women tend to have specific and unique heart health needs and experience heart health differently than men, especially considering the signs of heart disease in women are more likely to go unrecognized.","This social impact bond is designed to reduce the risk of heart disease in women, as measured by improved systolic blood pressure and increased physical activity. ",Health,"Winnipeg women with increased risk of cardiovascular disease, including high cholesterol and high blood pressure, who want support to change lifestyle risk factors related to diet, weight, physical activity, stress, alcohol or commercial tobacco use.",,Individual,,,,
Restoring The Sacred Bond,,Restoring The Sacred Bond,,,,CA,,False,False,,False,False,False,False,Implementation,,,,2019-09,,,,CAD,0.72,CADUSD,,,,,740000,,Infants are apprehended into the child welfare system in the days and months after birth. This is far too common in Manitoba,"Indigenous mothers are paired with a birth helper to provide stronger, culturally-appropriate support before, during and after the birth of her child for up to one year. ",Child and family welfare,At-risk expectant mothers,,Individual,,,,
Refugee Integration Support and Employment (RISE) - North East,,Refugee Integration Support and Employment (RISE) - North East,,,Refugee Better Outcomes Partnership - North East,GB,,False,False,,False,False,False,False,Implementation,2022-01,,,2021-11,2024-03,,,GBP,1.34,GBPUSD,,,,,,,Refugee Integration in the UK,"This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees. 
",Employment and training,The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).,,Individual,,,,
Refugee Transitions West Midlands,,Refugee Transitions West Midlands,,,,GB,,False,False,,False,False,False,False,Implementation,2022-01,,,2021-09,2024-03,,,GBP,1.34,GBPUSD,,,,,,,Refugee Integration in the UK,"This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees. 
",Employment and training,The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).,,Individual,,,,
Greater Manchester Refugee Integration Partnership,,Greater Manchester Refugee Integration Partnership,,,,GB,,False,False,,False,False,False,False,Implementation,2022-01,,,2021-09,2024-03,,,GBP,1.34,GBPUSD,,,,,,,Refugee Integration in the UK,"This initiative aims to increase the self-sufficiency and integration of newly granted refugees, helping them to move into work, learn English, access housing and build links in their local communities. It will encourage new partnerships and evaluate activities to better understand what works for refugees. 
",Employment and training,The project is working with those who have been granted refugee status or humanitarian protection since 24 February 2020 and are economically active (actively seeking work or ready to take active steps towards securing work).,,Individual,,,,
"Stevig Staan (Standing Strong) - Limburg, Netherlands",,"Stevig Staan (Standing Strong) - Limburg, Netherlands",,,Stevig Staan,NL,,False,False,,False,False,False,False,Implementation,2022-12,2030-05,,2023-01,2028-01,,,EUR,1.13,EURUSD,2034000,1800000,2034000,,,"3,838,556 EUR is the maximum potential outcomes payment from outcome payers to SPV. After VAT, this is 3.172.360 EUR. The total project will cost 2,85 million with 300.000 as a grant (investment is revolving). 3.172.360 - 750.000 (revolving part) is 2.422.360 which goes back to investors (with an initial investment of 1,8 million EUR).",The senior population (70+) in the Northern- Limburg region (a province in the Netherlands) is approximately 40.000. The senior population experiences about 28.900 fall incidents per year. This leads to 2.800 treaments in the Emergency Room. ,A falls prevention programme for senior population. ,Health,"Senior citizens aged 70 or older from North Limburg, Netherlands (Municipality of Beesel, Bergen, Gennep, Horst aan de Maas, Peel en Maas, Venlo and Venray), they live independently and have a high risk of falling (mobility/balancing problems or history of falling).",,Individual,,,,
Ministry of Justice - Japan SIB Pilot,,Ministry of Justice - Japan SIB Pilot,,,,JP,,True,False,,False,False,False,False,Implementation,2021-08,2024-02,,2021-08,2024-02,,,,,,,,,,,,"Obstacles to juvenile delinquents' access to higher education, leading to reoffending in some instances. ",Tailored support plan and in-person and online lessons to develop academic skills and study habits. ,Criminal justice,Juvenile training school parolees wishing to pursue further education ,,Individual,,,,
Reduction in Reoffending in South Auckland - New Zealand,,Reduction in Reoffending in South Auckland - New Zealand,,,,NZ,,False,False,,False,False,False,False,Complete,2017-08,,,2017-09,2023-08,2023-10,,NZD,0.59,NZDUSD,3540000,6000000,3540000,,,,Youth offenders - a social bond designed to reduce youth reoffending in South Auckland,Multi-disciplinary services to reduce reoffending amongst higher risk youth in South Auckland.,Criminal justice,Offenders aged between 13 and 18 years old who have offended and have an elevated risk of reoffending as measured by the NZ Police YORST assessment,,Individual,607,Individual,,"607 clients had been enrolled, against a target, and cap, of 1000. Final levels of enrolment were impacted by covid lockdowns. "
Imagine Social Outcomes-Based Contract (SOBC),,Imagine Social Outcomes-Based Contract (SOBC),,,Imagine SIB,ZA,,False,False,,False,False,False,False,Implementation,2023-01,2025-06,,,2025-06,,,ZAR,0.06,ZARUSD,5259911.22,87665187,5259911.22,,,Notes on Finance Model ,To improve the sexual and reproductive health of vulnerable Adolescent Girls and Young Women  (AGYW) in South Africa,"Imagine is an innovative and data driven programme that will be implemented in 14 high schools in 2 subdistricts in SA, Moretele in North West province and Newcastle in Kwazulu-Natal province",Health,Vulnerable Adolescent Girls and Young Women (AGYW),,Individual,,,,
Promoción de habilidades de lectoescritura en Chile,,Promoción de habilidades de lectoescritura en Chile - Promoting literacy skills in Chile,Promoción de habilidades de lectoescritura en Chile,Promoting literacy skills in Chile,,CL,,False,False,,False,False,False,False,Implementation,2023-05,,,2023-03,2024-12,,,CLP,0,CLPUSD,0,330000000,0,,412500,,,"The project aims to develop reading and writing skills in students from 1st and 2nd grade in schools with high vulnerability rates in different regions of Chile. The students will be treated by one of 4 service providers with extensive experience. These organizations use methodologies that include training and accompaniment for teachers, delivery of innovative teaching materials, workshops, and student tutoring, among others. It is expected that, within each year, students will show a significant increase in the score obtained in the Dialect test between the pre and post-test.",Education,School students,,Individual,,,,
Promoción de la Retención y Asistencia Escolar,,Promoción de la Retención y Asistencia Escolar - Promoting retention and school attendance in Chile,Promoción de la Retención y Asistencia Escolar,Promoting retention and school attendance in Chile,,CL,,False,False,,False,False,False,False,Implementation,2023-05,,,2023-03,2024-12,,,CLP,0,CLPUSD,0,200000000,0,,,,,"This project seeks to reduce school exclusion and increase attendance in students from highly vulnerable schools in the Metropolitan Region of Chile. The intervention called ""Cada Día Cuenta"" (""Each day counts"")promotes attendance by emphasizing its relevance to students' personal, social, and professional development. The program involves the entire school community to promote attendance, holding workshops, organising coordination meetings with school teams, delivering graphic materials, among other activities. Although results will be measured in grades 7, 8, I, II, and III, the intervention will cover all levels.",Education,School students,,Individual,,,,
Mine Fields to Rice Fields DIB,,Mine Fields to Rice Fields DIB,,,,KH,,False,True,,False,False,False,False,Implementation,2023-03,,,2023-04,2025-03,,,USD,1,USDUSD,410000,410000,410000,,,,Hidden landmines and other explosive remnants of war,"The Mine Fields to Rice Fields DIB – the first Impact Bond in mine action – provides integrated support for landmine clearance and agricultural development in Cambodia. First, it aims to clear approx. 3.8 million sqm of land in Preah Vihear, one of the most mine-affected provinces in Cambodia, to increase safety and freedom of movement for local communities and allow farmers to make more productive use of their land. After clearance, approx. 80 farmers with land in mine-affected areas will be supported to grow organic rice through inputs, training and marketing support. The aim is to increase their net income by 20-35% over two years, thereby reducing levels of household poverty. The DIB is a two-year pilot that aims to trial the effectiveness of an Impact Bond model to better integrate two distinct activities (e.g., mine action and agricultural development support) and understand whether this model could be scaled and replicated, both in Cambodia and to other mine-affected countries.",Agriculture and environment,Small-holder rice farmers with land in mine-affected areas,,,,,,
YMCA Alternative Suspension Programme,,YMCA Alternative Suspension Programme,,,,CA,,False,False,,False,False,False,False,Implementation,,,,2021-09,,,,CAD,0.72,CADUSD,2448000,3400000,2448000,,,This is target investment commitment according to source2.,School dropout is a national crisis in Canada. School suspensions and other disciplinary measures are early indicators of a student's potential to disengage from school. YMCA Alternative Suspension is a dropout prevention program designed to counter these risk factors.,"The Alternative Suspension Social Impact Bond (SIB) is an outcomes-based financing agreement that seeks to reduce school dropouts rates among youths aged 12–17, and act as a deterrence for repeated suspensions. The Programme supports secondary-level students who have been temporarily dismissed from the school setting through a three (3) to five (5) day offsite program. Students receive support with schoolwork, participate in group workshops, and engage in individual counselling, building autonomy and self-esteem throughout.",Education,"The programme welcomes youth between the ages of 10 to 17, who are confronted with significant risk factors in their personal and academic lives. Program participants are referred to the program by pre-identified, participating secondary level schools in each program community.",,Individual,,,,
End of Life Care Integrator - Somerset,,End of Life Care Integrator - Somerset,,,,GB,,False,False,,False,False,False,False,Complete,2021-04,2023-11,,2021-04,,,delivery started 6.21 - service was ramped up from 4.21,GBP,1.34,GBPUSD,457768.12,341618,457768.12,,,,,"Single Point of Access - the Oldham Integrated End of Life Care Hub – to improve the access to end of life care across the borough. The service would provide a single contact point for health professionals, patients and families, 111 and the VCSE sector to call, and provide 24 hour support to ensure that patients receive appropriate care in the community. ",Health,End of life care patients (Outcomes paid for patients who experience less bed days in the last months of their lives compared to an agreed baseline),,Individual,3848,,,
End of Life Care Integrator- Bradford,,End of Life Care Integrator- Bradford,,,,GB,,False,False,,False,False,False,False,Complete,2022-05,2024-03,,2022-04,2025-03,,"The end date of 2024-03 is CBO end of funding, the project will run until 2025-05 with other funding sources. 
 ",GBP,1.34,GBPUSD,1134533.78,846667,1134533.78,,,CBO 2 years £1.93m  (3 year project £2.922m),,"This service offers a specialist palliative care presence in Bradford Hospital Trust's accident and emergency (A&E) department to help identify end of life patients and influence how their care is managed, avoiding hospital stays where possible. Plus, Telemedicine Service and clinical assessments of those residents in homes.",Health,End of life Care patients (people in their expected last twelve months of life),,Individual,3220,,,
Waste-to-Wealth Campaign,,Waste-to-Wealth Campaign,,,Wecyclers Outcomes Partnership,NG,,False,False,,False,False,False,False,Implementation,2023-03,,,2023-06,2028-05,,,USD,1,USDUSD,1621395,1621395,1621395,,,,"Waste management and sustainable employment - Wecyclers, a social enterprise in Nigeria focused on waste collection and recycling, to develop their franchise model for the collection and sorting of plastic waste. This outcomes contract includes social, environmental, and financial targets, which will see Wecyclers collect more than 30,000 tonnes of plastic waste over the next five years, create over 700 jobs in recycling franchises across Nigeria, and improve the incomes of thousands of waste sorters.",Plastic waste collection & recycling in Nigeria,Agriculture and environment,"The project is increasing the removal and recycling of plastic waste from the environment through a franchise model which supports sustainable employment in the waste management economy in Nigeria. Social entrepreneurs run the franchises – they engage with local collectors as well as employ balers and sorters. The programme is focused on training and supporting social entrepreneurs in establishing their own franchises. By providing the necessary equipment, Wecyclers can work in underserved communities and create much-needed collection and recycling facilities as well as supporting the local communities with income and employment opportunities.",,Individual,,,,
Istanbul Kodluyor ,,Istanbul Kodluyor (Istanbul codes),Istanbul Kodluyor ,Istanbul Codes,Turkiye Outcomes Partnership,TR,,False,False,,False,False,False,False,Implementation,2023-08,,,2023-08,2025-07,,,USD,1,USDUSD,,,,,,,"The youth unemployment rate in Turkiye is estimated to be at least 20% (this may under-represent the challenge, as many young adults are dropping out of the labour force altogether). There is a growing ICT industry sector in Turkiye, but the challenge is a skills mismatch – high demand for ICT jobs but very few candidates with the required skills.",The purpose of the project is to provide 600 unemployed young people with skills and integrate them into the workforce. Companies will also be able to meet their demand for trained human resources in the software area.,Employment and training,"Young adults aged 18-35 in Turkiye, who have been not in employment, education, or training for at least 6 months",,Individual,,,,
"Scaling up the Adolescent Sexual and Reproductive Health Development Impact Bond in Kenya
",,"Scaling up the Adolescent Sexual and Reproductive Health Development Impact Bond in Kenya
",,,,KE,,False,True,,False,False,False,False,Implementation,2023-08,,,2023-07,2025-06,,,USD,1,USDUSD,,,,,3500000,,,"Tiko, a non-profit organisation in Kenya that created a free digital platform, the Tiko platform, to connect adolescent girls aged 15-19 years old to local public and private service providers and deliver free sexual and reproductive health (SRH) and HIV-related services",Health,Adolescent girls aged 15-19 years old in 10 counties in Kenya,,Individual,,,,
Mental Health and Employment Partnership (MHEP) North London - Barnet,,Mental Health and Employment Partnership (MHEP) North London - Barnet,,,,GB,,False,False,,False,False,False,False,Complete,2017-04,2018-03,2018-03,2017-10,,,,,,,,,,,,,,"Individual Placement and Support (IPS) services to assist adults with severe and enduring mental health illness gain and retain employment, in Barnet.",Employment and training,Adults with severe and enduring mental illness.,,Individual,,,,
Mental Health and Employment Partnership (MHEP) North London - Enfield,,Mental Health and Employment Partnership (MHEP) North London - Enfield,,,,GB,,False,False,,False,False,False,False,Complete,2017-07,2020-03,2020-03,2017-10,,,,,,,,,,,,,,"Individual Placement and Support (IPS) services to assist adults with severe and enduring mental health illness gain and retain employment, in Enfield.",Employment and training,Adults with severe and enduring mental illness,,Individual,,,,
End of Life Care Integrator - Sutton,,End of Life Care Integrator - Sutton,,,,GB,,False,False,,False,False,False,False,Complete,2018-02,2023-03,2023-06,2020-04,,,,,,,,,,,,,,"Single point of access delivered through alliance model, harnessing voluntary sector to support patients who prefer to be treated at home. This integrates continuing healthcare fast track process into a new End of Life Care Coordination and Assessment Service with palliative care experts. Plus, assessments are undertook for ratification in CCG as well as providing care packages for individuals nearing the end of their life.",Health,End of life patients.,,,,,,
Mental Health and Employment Partnership (MHEP) Haringey,,Mental Health and Employment Partnership (MHEP) Haringey,,,,GB,,False,False,,False,False,False,False,Complete,2015-03,2019-03,2019-03,2017-04,,,,,,,,,,,,,This funding has been offered for a three-year social impact bond to support people with severe and enduring mental illness to get into work in Haringey.,"Individual Placement and Support (IPS) is designed to address the employment support needs of secondary health service users with severe mental health conditions. The IPS service delivery model is based on having an employment advisor embedded in local mental health professional teams and working in a holistic manner with the therapeutic workers. The IPS employment advisor offers a personalised employment support service to the patient based upon their wishes and needs. Support is provided to employer and employee even after a placement has been made, including necessary adaptations. ",Employment and training,Adults registered with a GP in the commissioning area who have or are recovering from a mental health condition and are looking to enter employment.,,,,,,"Outcomes payment divided between commissioners. Successful engagement of user: MHEP/BII = 20%, Commissioner = 70%, SOF/CBO Fund = 10%. All others are SOF/CBO Fund = 100%"
Bedayat Social Impact Bond,,Bedayat Social Impact Bond,,,,AE,,True,False,,False,False,False,False,Implementation,2020-12,2024-03,,2022-11,2024-03,,,AED,0.27,AEDUSD,788400,2920000,788400,,,,The negative impact of divorce on children's development.,Bedayat is a support program for families who are going through divorce with young children (aged 0-8 years). The program offers at least six weeks of support that includes free weekly counseling sessions with child & family experts and online/in-person workshops and support groups.,Child and family welfare,"Families in the process of divorce/separation, with children's age 0-8, residents & citizens of the Emirate of Abu Dhabi, Arabic and English speakers.",,Other,,,,
Comprehensive employment intervention for mentally vulnerable citizens ,,"Comprehensive employment intervention for mentally vulnerable citizens (Slagelse Municipality, Denmark)",,,,DK,,False,False,,False,False,False,False,Contracted,2023-12,2024-11,,2024-03,,,,DKK,0.15,DKKUSD,615000,4100000,615000,,,,,"The intervention is based on the IPS (Individual Placement and Support) method, which internationally has shown good results in terms of helping mentally vulnerable people achieve employment or start an education.",Employment and training,People with mental health issues,,Individual,,,,
Comprehensive employment intervention for mentally vulnerable citizens ,,"Comprehensive employment intervention for mentally vulnerable citizens (Holbæk Municipality, Denmark)",,,,DK,,False,False,,False,False,False,False,Implementation,2023-11,,,2024-01,2026-06,,,DKK,0.15,DKKUSD,1035000,6900000,1035000,,,,,"The intervention is based on the IPS (Individual Placement and Support) method, which internationally has shown good results in terms of helping mentally vulnerable people achieve employment or start an education.",Employment and training,People with mental health issues,,Individual,,,,
Comprehensive social and employment intervention for families in vulnerable residential areas ,,"Comprehensive social and employment intervention for families in vulnerable residential areas - Viborg Municipality, Denmark",,,,DK,,False,False,,False,False,False,False,Implementation,2023-10,,,2023-11,2026-10,,,DKK,0.15,DKKUSD,795000,5300000,795000,,,,,"This is a comprehensive social intervention in 3 residential areas in Viborg Municipality. The aim of the intervention is to strengthen employment, education, life prospects, cohesion and engagements for the residents of Viborg Municipality.",Employment and training,Families in the Municipality of Viborg,,Other,,,,
Development Impact Bond (DIB) for hepatitis C diagnosis and treatment financing ,,Development Impact Bond (DIB) for hepatitis C diagnosis and treatment financing - Cameroon,,,,CM,,False,True,,False,False,False,False,Complete,2019-12,,,,,,,EUR,1.13,EURUSD,259900,230000,259900,,,,"High rates of undiagnosed and untreated chronic HCV infection, a treatable condition, in Cameroon",,Health,HCV-infected individuals (carriers),,,300,Individual,,"The study was launched just before the COVID-19 pandemic and enrollment of patients was paused for six months. To continue the project, three agents – the investor, intermediary and outcome payer – agreed to invest additional money in the DIB. The total unexpected costs due to COVID-19 was €72,500 and was paid directly into the project as a once-off payment in January 2021."
Mental Health and Employment Partnership (MHEP) Tower Hamlets,,Mental Health and Employment Partnership (MHEP) Tower Hamlets,,,,GB,,False,False,,False,False,False,False,Complete,2016-02,2019-03,2020-03,2016-04,,,,,,,,,,,,,This funding has been offered for a three-year social impact bond to support people with severe and enduring mental illness to get into work in the London Borough of Tower Hamlets.,"Individual Placement and Support (IPS) is designed to address the employment support needs of secondary health service users with severe mental health conditions. The IPS service delivery model is based on having an employment advisor embedded in local mental health professional teams and working in a holistic manner with the therapeutic workers. The IPS employment advisor offers a personalised employment support service to the patient based upon their wishes and needs. Support is provided to employer and employee even after a placement has been made, including necessary adaptations. ",Employment and training,Adults registered with a GP in the commissioning area who have or are recovering from a mental health condition and are looking to enter employment.,,,,,,"Outcomes payment divided between commissioners. Successful engagement of user: MHEP/BII = 20%, Commissioner = 70%, SOF/CBO Fund = 10%. All others are SOF/CBO Fund = 100%"
Ava now ,Austria,Ava now  - Austria ,,,(PERSPECTIVE: DIGITIZATION project),AT,,False,False,,False,False,False,False,Complete,,,2024-03,2020-05,,2023-10,,EUR,1.13,EURUSD,339000,300000,339000,,,"The ERSTE Foundation pre-financed the project with EUR 300,000.","Supporting the independence and quality of life of people with disabilities, and at the same time empowering unemployed women.","Atempo offers a digital platform for the efficient coordination of people in need of assistance and unemployed women. The platform provides online training to support women in qualifying for the labour market. With professional training and mentoring, unemployed women are trained to support people with disabilities and thus find meaningful and flexible employment. ",Employment and training,"Unemployed women , especially women with low educational qualifications, after maternity leave or family care leave. ",,Individual,,,,
West London Zone (London Borough of Hammersmith and Fulham),,West London Zone (London Borough of Hammersmith and Fulham),,,,GB,,False,False,,False,False,False,False,Complete,2016-11,,2021-03,2016-11,,,,GBP,1.34,GBPUSD,482400,360000,482400,,,,,The West London Zone Collective Impact Bond will support delivery of early interventions and services linked to improved achievement and well-being of Children and Young People (CYP) at risk of undesirable outcomes in later life. It will be delivered as two separate contracts over a five year period in the London boroughs of Hammersmith & Fulham. ,Education,Primary school children,,,,,,
Greater Manchester Better Outcomes Partnership,,Greater Manchester Better Outcomes Partnership,,,GMBOP Pathfinder project,GB,,False,False,,False,False,False,False,Implementation,,,,2021-04,,,,,,,,,,,,,Homelessness in Greater Manchester,"GMBOP Pathfinder helps young people in Greater Manchester to secure alternative accommodation, or stabilise the current accommodation, through a tailored programme. Once accommodation has been stabilised, the programme supports participants to address other needs, including mental health and financial stability, and to engage in meaningful activity, such as education, social clubs or employment, to build their confidence and resilience. This holistic approach in turn helps to prevent longer term homelessness and enables participants to live independent, fulfilling lives.",Homelessness,Young people at risk of homelessness,,Individual,,,,
Thrive North East Lincolnshire,,Thrive North East Lincolnshire,,,,GB,,False,False,,False,False,False,False,Implementation,2023-07,,,2023-08,2029-07,,,,,,,,,,,,"The Thrive intervention is an asset-based social prescribing model, which focuses on addressing social and environmental factors to support individuals' health and well-being.","The Thrive intervention is an asset-based social prescribing model, which focuses on addressing social and environmental factors to support individuals' health and well-being. The delivery partner, Centre4, manages link workers who do an initial evaluation, formulate an action plan and support participants in engaging with activities and creating new social groups. This new engagement with the community supports participants in developing an improved attitude towards challenges, improving participants' access to specialist services, and helping them to improve their lifestyle.",Health,People with long-term conditions in North East Lincolnshire,,Individual,,,,
LiftEd India,,LiftEd India,,,,IN,,False,False,,False,False,False,False,Implementation,2024-02,,,2023-10,2027-09,,,USD,1,USDUSD,,,,6700000,,,,"To achieve results at scale the Development Impact Bond (DIB) supports partners who train state governments and school facilitators, building their capacity to improve foundational learning levels for children in public school across grades 1-3. The DIB involves 4 leading education partners in India – Kaivalya Education Foundation, Language and Learning Foundation, Peepul, and Pratham Education Foundation. Their impact is measured by independent third-party evaluators – ConveGenius Insights and Development Solutions.",Education,Students,,Individual,,,,
